detector,augmentation,seed,time_bucket,auprc,recall_at_1pct_fpr,positives,rows
lightgbm,plausible_hard_projected_v2,1,Q3,0.8456164277696122,0.8536585365853658,82,54493
lightgbm,plausible_hard_projected_v2,1,Q4 latest,0.9842533158927413,0.9846153846153847,195,54494
lightgbm,plausible_hard_projected_v2,2,Q1 earliest,0.7663319807114,0.8947368421052632,19,54494
lightgbm,plausible_hard_projected_v2,2,Q2,0.9929498486349296,1.0,53,54493
lightgbm,plausible_hard_projected_v2,2,Q3,0.8500535366065844,0.8536585365853658,82,54493
lightgbm,plausible_hard_projected_v2,2,Q4 latest,0.9848874683537668,0.9846153846153847,195,54494
lightgbm,plausible_hard_projected_v2,3,Q1 earliest,0.7513529985684676,0.8947368421052632,19,54494
lightgbm,plausible_hard_projected_v2,3,Q2,0.9982904063092743,1.0,53,54493
lightgbm,plausible_hard_projected_v2,3,Q3,0.8526664933236724,0.8902439024390244,82,54493
lightgbm,plausible_hard_projected_v2,3,Q4 latest,0.984838401610176,0.9846153846153847,195,54494
lightgbm,plausible_hard_projected_v2,4,Q1 earliest,0.7677832771348794,0.8947368421052632,19,54494
lightgbm,plausible_hard_projected_v2,4,Q2,0.9951140838698724,1.0,53,54493
lightgbm,plausible_hard_projected_v2,4,Q3,0.8517754272321081,0.8780487804878049,82,54493
lightgbm,plausible_hard_projected_v2,4,Q4 latest,0.9837485405310928,0.9846153846153847,195,54494
lightgbm,plausible_hard_projected_v2,5,Q1 earliest,0.7642880432602737,0.8947368421052632,19,54494
lightgbm,plausible_hard_projected_v2,5,Q2,0.9947173682309872,1.0,53,54493
lightgbm,plausible_hard_projected_v2,5,Q3,0.8494902991808628,0.8780487804878049,82,54493
lightgbm,plausible_hard_projected_v2,5,Q4 latest,0.9839825123737914,0.9846153846153847,195,54494
lightgbm,plausible_hard_projected_v2,6,Q1 earliest,0.7474071229817901,0.9473684210526315,19,54494
lightgbm,plausible_hard_projected_v2,6,Q2,0.9983734547820429,1.0,53,54493
lightgbm,plausible_hard_projected_v2,6,Q3,0.8519936163785943,0.8536585365853658,82,54493
lightgbm,plausible_hard_projected_v2,6,Q4 latest,0.9842921985476907,0.9846153846153847,195,54494
lightgbm,plausible_hard_projected_v2,7,Q1 earliest,0.7282447460190513,0.8947368421052632,19,54494
