acceptance_rate,augmentation,dataset,detector,detector_hardness,edit_distance,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate,run_name,categorical_fractionality_rate,negative_feature_rate,eval_subset,heldout_train_positives
0.949206349206349,boundary_projected_v2,amlnet,topology_lr,9.118439513220125,0.200902623576707,945,,1.0,0.0,0.0,0.0,0.637877306817438,1.0,2,0.0,cikm_v2_main,,,,
,none,transxion,lightgbm,,,0,,0.01,,,,,1.0,1,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.01,,,,,1.0,0,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.01,,,,,1.0,2,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.05,,,,,1.0,0,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.05,,,,,1.0,1,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.05,,,,,1.0,2,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.1,,,,,1.0,0,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.1,,,,,1.0,1,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.1,,,,,1.0,2,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.25,,,,,1.0,0,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.25,,,,,1.0,1,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,0.25,,,,,1.0,2,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,1.0,,,,,1.0,0,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,1.0,,,,,1.0,1,,cikm_v2_label_scarcity,,,,
,none,transxion,lightgbm,,,0,,1.0,,,,,1.0,2,,cikm_v2_label_scarcity,,,,
0.9333333333333332,random_feasible_v2,transxion,lightgbm,0.059084197789061,0.006799396990388,30,,0.01,0.0,0.0,0.0,0.527283546771628,1.0,0,0.0,cikm_v2_label_scarcity,,,,
0.9333333333333332,random_feasible_v2,transxion,lightgbm,0.015010561007988,0.018477946302004,30,,0.01,0.0,0.0,0.0,0.379640255311698,1.0,1,0.0,cikm_v2_label_scarcity,,,,
0.9333333333333332,random_feasible_v2,transxion,lightgbm,0.108717411521436,0.023523834971596,30,,0.01,0.0,0.0,0.0,0.42252855141899,1.0,2,0.0,cikm_v2_label_scarcity,,,,
0.945945945945945,random_feasible_v2,transxion,lightgbm,0.015250077206477,0.010160971590054,148,,0.05,0.0,0.0,0.0,0.412540480301186,1.0,0,0.0,cikm_v2_label_scarcity,,,,
0.945945945945945,random_feasible_v2,transxion,lightgbm,0.006756452306794,0.006450806263844,148,,0.05,0.0,0.0,0.0,0.422316297242834,1.0,1,0.0,cikm_v2_label_scarcity,,,,
0.945945945945945,random_feasible_v2,transxion,lightgbm,0.008703456781515,0.006902319044893,148,,0.05,0.0,0.0,0.0,0.604665672053576,1.0,2,0.0,cikm_v2_label_scarcity,,,,
